epoch,accuracy,loss,top2_accuracy,val_accuracy,val_loss,val_top2_accuracy
0,0.6319960355758667,1.225303053855896,0.8207033276557922,0.7649402618408203,0.6914023160934448,0.9003984332084656
1,0.7568103075027466,0.7613073587417603,0.9177810549736023,0.8207171559333801,0.529572606086731,0.9442231059074402
2,0.8202080130577087,0.5723319053649902,0.9395740628242493,0.8127490282058716,0.549046516418457,0.9442231059074402
3,0.8484398126602173,0.4680293798446655,0.9529470205307007,0.8326693177223206,0.5493286848068237,0.9442231059074402
4,0.8504210114479065,0.4514090120792389,0.960871696472168,0.8286852836608887,0.5163479447364807,0.9482071995735168
5,0.8568598031997681,0.437833696603775,0.9658246636390686,0.8565737009048462,0.5065276622772217,0.9521912336349487
6,0.8751857280731201,0.36357757449150085,0.9732540845870972,0.8525896668434143,0.5023342370986938,0.9601593613624573
7,0.8870728015899658,0.35696330666542053,0.9772164225578308,0.8685259222984314,0.4847732484340668,0.9561753273010254
8,0.8137692213058472,9.999999747378752e-06,0.6306156516075134,0.9346210956573486,0.8645418286323547,0.4903978109359741,0.9561753273010254
9,0.8216938972473145,9.999999747378752e-06,0.545699954032898,0.9524517059326172,0.8685259222984314,0.5003609657287598,0.9482071995735168
10,0.8261515498161316,9.999999747378752e-06,0.5183383226394653,0.950470507144928,0.8685259222984314,0.51459801197052,0.9521912336349487
11,0.8296186327934265,2.9999998787388904e-06,0.5103744864463806,0.951461136341095,0.8685259222984314,0.5169254541397095,0.9561753273010254
12,0.8429915904998779,2.9999998787388904e-06,0.49434903264045715,0.9484893679618835,0.8685259222984314,0.5189623236656189,0.9561753273010254
13,0.8355621695518494,9.999999974752427e-07,0.5185965299606323,0.951461136341095,0.8645418286323547,0.520480751991272,0.9521912336349487
